threshold,precision,recall,f1,balanced_accuracy,flagged_districts_count,true_positives,false_positives,false_negatives
0.2,0.2632,0.3333,0.2941,0.5694,19,5,14,10
0.3,0.25,0.2667,0.2581,0.55,16,4,12,11
0.4,0.2143,0.2,0.2069,0.5236,14,3,11,12
0.5,0.3,0.2,0.24,0.5514,10,3,7,12
0.6,0.3,0.2,0.24,0.5514,10,3,7,12
0.7,0.3333,0.2,0.25,0.5583,9,3,6,12
0.8,0.3333,0.1333,0.1905,0.5389,6,2,4,13
