model_name,ner_oof_pr_auc,ner_oof_roc_auc,ner_oof_recall,ner_oof_precision,ner_oof_f1,ner_oof_balanced_accuracy,ner_oof_brier_score,ner_mean_pr_auc,ner_std_pr_auc,ner_mean_roc_auc,ner_std_roc_auc,non_ner_benchmark_pr_auc,non_ner_benchmark_roc_auc
HistGradientBoosting (Balanced),0.2438,0.4958,0.2,0.3,0.24,0.5514,0.1924,0.3523,0.1991,0.5654,0.207,0.0218,0.4867
"Random Forest (Balanced, Depth=4)",0.1565,0.4106,0.4,0.1714,0.24,0.4986,0.2622,0.2049,0.0691,0.4165,0.1241,0.0189,0.3988
"Logistic Regression (L2, Balanced)",0.1505,0.2704,0.2667,0.0851,0.129,0.3347,0.4601,0.2077,0.0712,0.357,0.1751,0.0142,0.2295
